Date,Channel Group,Landing Page,Sessions,Users,Bounce Rate,Avg Session Duration,Pages per Session,Goal Completions,Conversion Rate
01/01/2025,Organic Search,/home,1200,950,42.5,180,3.8,65,5.42
01/01/2025,Paid Search,/pricing,850,700,55.2,145,2.9,48,5.65
01/01/2025,Referral,/blog-seo,620,510,38.7,210,4.5,31,5
01/01/2025,Direct,/home,980,760,35.4,225,5.2,72,7.35
02/01/2025,Organic Search,/products,1300,1020,40.8,190,4.1,70,5.38
02/01/2025,Paid Search,/pricing,900,740,58.1,135,2.7,45,5
02/01/2025,Referral,/blog-ai,650,530,36.5,215,4.8,35,5.38
02/01/2025,Direct,/contact,750,610,30.2,240,5.5,60,8
03/01/2025,Organic Search,/home,1450,1150,39.6,205,4.4,82,5.66
03/01/2025,Paid Search,/products,920,760,56.8,140,2.8,50,5.43
03/01/2025,Referral,/blog-marketing,700,580,34.8,225,5,42,6
03/01/2025,Direct,/home,1050,830,29.5,255,5.8,88,8.38
04/01/2025,Organic Search,/services,1380,1090,41.2,195,4.2,76,5.51
04/01/2025,Paid Search,/pricing,970,790,57.4,130,2.6,47,4.85
04/01/2025,Referral,/blog-data,690,560,37.1,220,4.9,39,5.65
04/01/2025,Direct,/about,810,650,31.8,235,5.3,61,7.53
05/01/2025,Organic Search,/home,1520,1200,38.9,210,4.6,90,5.92
05/01/2025,Paid Search,/products,980,810,55.7,145,2.9,54,5.51
05/01/2025,Referral,/blog-analytics,720,590,35.2,230,5.1,44,6.11
05/01/2025,Direct,/home,1120,890,28.7,265,6,95,8.48
