channel group,Enggaged session,Engagement sessions per user,Engagement  Rate,Average Engagment time per session,Event per session,Bouns Rate,Event count,DateHour,sessions,Users,hours
Direct,2024041623,237,300,144,47.52666667,0.607594937,4.673333333,,1402,77.04,
Organic Social,2024041719,208,267,132,32.09737828,0.634615385,4.29588015,,1147,63.92,
Direct,2024041723,188,233,115,39.93991416,0.611702128,4.587982833,,1069,55.92,
Organic Social,2024041718,187,256,125,32.16015625,0.668449198,4.078125,,1044,29.36,
Organic Social,2024041720,175,221,112,46.91855204,0.64,4.529411765,,1001,29.36,
Organic Social,2024041721,160,206,103,59.31553398,0.64375,4.694174757,,967,23.49,
Organic Social,2024050119,160,219,110,40.31506849,0.6875,4.630136986,,1014,71.97,
Direct,2024041622,158,192,94,39.02083333,0.594936709,4.057291667,,779,56.07,
Organic Social,2024041321,152,178,96,30.48876404,0.631578947,5.056179775,,900,62.48,
Organic Social,2024041516,151,211,93,64.16587678,0.61589404,4.317535545,,911,21.24,
Organic Social,2024050322,151,196,125,13.68367347,0.82781457,4.678571429,,917,78.19,
Organic Social,2024050321,150,188,120,15.4893617,0.8,4.579787234,,861,69.95,
Organic Social,2024042620,146,184,110,32.63043478,0.753424658,4.880434783,,898,32.74,
Organic Social,2024041700,140,191,81,20.91099476,0.578571429,3.842931937,,734,30.91,
Organic Social,2024042621,140,199,82,13.75879397,0.585714286,4.040201005,,804,31,
Organic Social,2024041711,139,150,88,45,0.633093525,5.626666667,,844,38.25,
Organic Social,2024041515,136,198,90,43.78787879,0.661764706,4.843434343,,959,51.49,
Organic Social,2024042517,135,176,88,38.6875,0.651851852,4.1875,,737,45.92,
Organic Social,2024041916,134,179,81,33.19553073,0.604477612,4.094972067,,733,37.47,
Organic Social,2024042616,132,176,93,30.90340909,0.704545455,4.340909091,,764,56.71,
Organic Social,2024041722,131,155,81,39.89677419,0.618320611,4.658064516,,722,28.37,
Organic Social,2024041119,130,150,93,71.06,0.715384615,5.8,,870,37.53,
Organic Social,2024041322,130,157,69,28.51592357,0.530769231,4.286624204,,673,41.98,
Organic Social,2024041513,130,157,86,44.84076433,0.661538462,4.636942675,,728,47.36,
Organic Social,2024043015,130,171,97,71.24561404,0.746153846,5.573099415,,953,67.11,
Organic Social,2024041717,129,147,89,70.7755102,0.689922481,5.25170068,,772,31.98,
Organic Social,2024050222,129,148,86,29.93243243,0.666666667,4.675675676,,692,50.85,
Direct,2024042923,128,152,70,64.125,0.546875,4.651315789,,707,55.54,
Organic Social,2024042610,128,178,81,36.03370787,0.6328125,4.353932584,,775,22.79,
Organic Social,2024041000,127,200,60,25.07,0.472440945,3.675,,735,56.45,
Organic Social,2024041712,127,152,88,59.66447368,0.692913386,5.309210526,,807,30.23,
Organic Social,2024042309,124,163,77,29.47852761,0.620967742,4.63803681,,756,23.9,
Organic Social,2024042518,124,154,72,63.5974026,0.580645161,4.75974026,,733,76.93,
Organic Social,2024042619,124,157,86,37.31210191,0.693548387,5.414012739,,850,77.94,
Organic Social,2024040717,123,159,78,35.13836478,0.634146341,4.440251572,,706,68.5,
Organic Social,2024041200,122,178,79,26.18539326,0.647540984,4.185393258,,745,38.28,
Organic Social,2024041323,122,136,66,41.02205882,0.540983607,4.816176471,,655,25.86,
Organic Social,2024042622,122,144,79,27.32638889,0.647540984,4.659722222,,671,61.05,
Organic Social,2024041211,121,150,90,53.08,0.743801653,4.646666667,,697,46.41,
Organic Social,2024041517,121,158,73,48.48101266,0.603305785,4.246835443,,671,27.32,
Organic Social,2024041221,120,159,80,47.8490566,0.666666667,4.647798742,,739,49.71,
Organic Social,2024050300,120,166,81,39.59036145,0.675,4.662650602,,774,22.06,
Organic Social,2024041400,119,182,76,28.00549451,0.638655462,4.021978022,,732,74.56,
